Rank,Name,Team,Position,Opponent,HomeOrAway,BattingOrder,AtBats,Runs,Hits,Doubles,Triples,HomeRuns,RunsBattedIn,Walks,Strikeouts,StolenBases,CaughtStealing,BattingAverage,OnBasePercentage,FantasyPointsDraftKings
236,Franklin Barreto,OAK,2B,CHW,AWAY,9,3.42,0.47,0.81,0.16,0.03,0.12,0.4,0.28,1.21,0.07,0.02,0.333,0.25,6.45
237,Jonathan Lucroy,OAK,C,CHW,AWAY,8,3.35,0.45,0.92,0.19,0.02,0.07,0.42,0.39,0.53,0.02,0,0.333,0.25,6.43
238,Elias Diaz,PIT,C,ARI,HOME,5,3.72,0.49,0.91,0.2,0.01,0.1,0.41,0.29,0.69,0.02,0.01,0.25,0.25,6.42
238,Jake Marisnick,HOU,CF,KC,HOME,9,3.3,0.43,0.76,0.16,0.01,0.16,0.39,0.23,1.17,0.09,0.04,0.333,0.25,6.42
240,Jordy Mercer,PIT,SS,ARI,HOME,7,3.6,0.46,0.9,0.18,0.03,0.1,0.42,0.31,0.61,0.01,0.02,0.25,0.25,6.4
240,Paulo Orlando,KC,DH,HOU,AWAY,8,3.58,0.43,0.98,0.17,0.02,0.08,0.38,0.17,0.86,0.08,0.03,0.25,0.25,6.4
240,Manuel Margot,SD,CF,SF,AWAY,7,3.5,0.42,0.88,0.19,0.03,0.06,0.34,0.34,0.77,0.11,0.03,0.25,0.25,6.4
243,Bobby Wilson,MIN,C,TEX,HOME,9,3.54,0.45,0.88,0.18,0.01,0.12,0.5,0.23,1,0.02,0.02,0.25,0.25,6.39
244,Blake Swihart,BOS,DH,SEA,HOME,9,3.43,0.46,0.9,0.15,0.03,0.08,0.39,0.36,0.92,0.04,0.03,0.333,0.25,6.37
245,Sean Rodriguez,PIT,LF,ARI,HOME,8,3.39,0.42,0.82,0.17,0.01,0.13,0.41,0.38,1.14,0.02,0.02,0.333,0.25,6.36
245,Jesse Winker,CIN,RF,CHC,HOME,6,3.5,0.45,0.87,0.18,0.01,0.08,0.39,0.46,0.61,0.02,0.01,0.25,0.25,6.36
245,Christian Vazquez,BOS,C,SEA,HOME,8,3.66,0.43,0.96,0.17,0.02,0.09,0.37,0.23,0.68,0.05,0.02,0.25,0.25,6.36
248,Pablo Sandoval,SF,3B,SD,HOME,7,3.7,0.44,0.89,0.19,0.01,0.12,0.45,0.27,0.7,0.01,0.01,0.25,0.25,6.35
249,Stephen Piscotty,OAK,RF,CHW,AWAY,7,3.52,0.48,0.83,0.21,0.01,0.09,0.44,0.33,0.84,0.03,0.03,0.25,0.25,6.34
250,Andrew Knapp,PHI,C,WSH,AWAY,7,3.36,0.48,0.85,0.16,0.03,0.06,0.34,0.53,1.04,0.03,0.01,0.333,0.25,6.33
251,Scott Kingery,PHI,SS,WSH,AWAY,6,3.8,0.49,0.87,0.2,0.02,0.09,0.43,0.25,0.99,0.03,0.01,0.25,0.25,6.31
252,James McCann,DET,C,CLE,AWAY,7,3.56,0.44,0.88,0.18,0.02,0.09,0.46,0.28,0.96,0.02,0.01,0.25,0.25,6.27
253,Jose Iglesias,DET,SS,CLE,AWAY,8,3.59,0.44,0.9,0.2,0.01,0.07,0.38,0.23,0.47,0.08,0.03,0.25,0.25,6.24
254,Adam Engel,CHW,CF,OAK,HOME,8,3.59,0.46,0.79,0.17,0.03,0.09,0.37,0.24,1.28,0.1,0.02,0.25,0.25,6.23
255,Kole Calhoun,LAA,RF,TOR,HOME,7,3.59,0.42,0.81,0.15,0.02,0.09,0.42,0.37,0.83,0.05,0.01,0.25,0.25,6.21
256,Chris Gimenez,CHC,C,CIN,AWAY,8,3.28,0.48,0.8,0.16,0.01,0.11,0.35,0.41,0.92,0.02,0.01,0.333,0.25,6.2
256,Alcides Escobar,KC,CF,HOU,AWAY,7,3.61,0.47,0.9,0.17,0.03,0.08,0.37,0.22,0.61,0.05,0.03,0.25,0.25,6.2
258,J.T. Riddle,MIA,SS,COL,AWAY,6,3.7,0.43,0.91,0.16,0.02,0.09,0.4,0.29,0.78,0.02,0.02,0.25,0.25,6.16
259,JaCoby Jones,DET,LF,CLE,AWAY,9,3.52,0.44,0.79,0.19,0.03,0.09,0.36,0.18,1.19,0.1,0.03,0.25,0.25,6.11
260,Lewis Brinson,MIA,CF,COL,AWAY,8,3.61,0.4,0.78,0.16,0.01,0.14,0.45,0.24,1.18,0.03,0.02,0.25,0.25,6.1
261,Ryan LaMarre,MIN,CF,TEX,HOME,8,3.55,0.42,0.82,0.19,0.01,0.08,0.38,0.33,1.04,0.05,0.03,0.25,0.25,6.02
261,Adam Engel,CHW,CF,OAK,HOME,9,3.41,0.44,0.76,0.16,0.03,0.09,0.35,0.23,1.21,0.1,0.02,0.333,0.25,6.02
263,Omar Narvaez,CHW,C,OAK,HOME,7,3.44,0.39,0.92,0.18,0.01,0.06,0.3,0.44,0.65,0.02,0.02,0.333,0.25,5.99
264,Andrew Romine,SEA,SS,BOS,AWAY,9,3.38,0.4,0.84,0.18,0.02,0.07,0.33,0.29,0.78,0.07,0.02,0.333,0.25,5.96
265,Pedro Severino,WSH,C,PHI,HOME,8,3.43,0.4,0.81,0.17,0.01,0.08,0.36,0.37,0.82,0.03,0.01,0.333,0.25,5.89
266,Martin Maldonado,LAA,C,TOR,HOME,8,3.63,0.44,0.82,0.18,0.01,0.1,0.4,0.18,0.92,0.01,0.01,0.25,0.25,5.86
267,Caleb Joseph,BAL,C,ATL,AWAY,8,3.6,0.45,0.83,0.17,0.02,0.11,0.36,0.19,0.9,0.01,0.01,0.25,0.25,5.81
