Gleyber Torres,4300,NYY,2B,KCR,,0.999,7.71
Tyler Wade,3400,NYY,2B,KCR,,0.735,5.83
Anthony Rizzo,4800,CHC,1B,STL,,0.762,9.29
Paul DeJong,4000,STL,SS,CHC,,0.747,7.56
Tommy Pham,4600,STL,OF,CHC,,0.999,8.16
Marcell Ozuna,3400,STL,OF,CHC,,0.999,7.43
Jose Martinez,3900,STL,1B,CHC,,0.74,7.25
Dexter Fowler,3800,STL,OF,CHC,,0.999,6.52
David Bote,3500,CHC,2B/3B,STL,,0.734,4.7
Yairo Munoz,4200,STL,SS,CHC,,0.999,4.93
Yadier Molina,4000,STL,C,CHC,,0.999,6.57
Willson Contreras,4100,CHC,C,STL,,0.999,5.34
Kyle Schwarber,4300,CHC,OF,STL,,0.743,7.25
Jason Heyward,4100,CHC,OF,STL,,0.757,8.12
Ian Happ,4200,CHC,OF,STL,,0.759,7.43
Matt Carpenter,5200,STL,1B/3B,CHC,,0.725,7.13
Javier Baez,4700,CHC,2B/SS,STL,,0.793,7.45
Albert Almora,3700,CHC,OF,STL,,0.712,6.4
Whit Merrifield,4000,KCR,2B/OF,NYY,,0.741,8.34
Salvador Perez,4000,KCR,C,NYY,,0.999,7.87
Gregory Polanco,4000,PIT,OF,NYM,,0.809,6.88
Michael Conforto,4500,NYM,OF,PIT,,0.999,8.04
Brandon Nimmo,4900,NYM,OF,PIT,,0.689,8.03
Colin Moran,3000,PIT,3B,NYM,,0.999,6.34
Jeff McNeil,3200,NYM,3B,PIT,,0.999,5.75
Adam Frazier,3300,PIT,2B/OF,NYM,,0,7.18
Jose Osuna,2700,PIT,1B/OF,NYM,,0,7.24
Jordan Luplow,3200,PIT,OF,NYM,,0.722,5.91
Jordy Mercer,2900,PIT,SS,NYM,,0.999,4.71
Wilmer Flores,3700,NYM,1B/3B,PIT,,0.755,7.69
Amed Rosario,3600,NYM,SS,PIT,,0.999,7.28
Jose Bautista,4200,NYM,3B/OF,PIT,,0.731,7.09
Devin Mesoraco,3400,NYM,C,PIT,,0.999,5.53
Francisco Cervelli,3000,PIT,C,NYM,,0.999,5.8
Starling Marte,4400,PIT,OF,NYM,,0.774,6.76
Phillip Evans,3100,NYM,3B/OF,PIT,,0,6.2
Chris Taylor,4700,LAD,OF/SS,ATL,,0.762,8.27
Freddie Freeman,4500,ATL,1B,LAD,,0.999,6.92
Dansby Swanson,3700,ATL,SS,LAD,,0.999,5.29
Johan Camargo,3800,ATL,3B/SS,LAD,,0.999,6.42
Nick Markakis,4000,ATL,OF,LAD,,0.999,6.3
Ender Inciarte,3600,ATL,OF,LAD,,0.999,4.85
Cody Bellinger,4300,LAD,1B/OF,ATL,,0.999,6.57
Charlie Culberson,3400,ATL,3B/OF,LAD,,0.999,6.39
Tyler Flowers,3400,ATL,C,LAD,,0.744,6.39
Ronald Acuna,4600,ATL,OF,LAD,,0.775,8.02
Matt Kemp,4600,LAD,OF,ATL,,0.771,8.25
Manny Machado,5100,LAD,SS,ATL,,0.749,9.81
Enrique Hernandez,4300,LAD,OF/SS,ATL,,0.999,7.45
Yasiel Puig,3200,LAD,OF,ATL,,0.999,7.4
Austin Barnes,3200,LAD,C,ATL,,0.999,5.88
Logan Forsythe,3700,LAD,2B/3B,ATL,,0.999,5.82
Danny Valencia,3800,BAL,3B/OF,TBR,,0.727,6.4
Joey Rickard,3300,BAL,OF,TBR,,0.745,6.32
Aaron Hicks,4400,NYY,OF,KCR,,0.763,8.68
Didi Gregorius,5300,NYY,SS,KCR,,0.765,9.96
Brett Gardner,4700,NYY,OF,KCR,,0.691,8.96
Gregory Bird,4300,NYY,1B,KCR,,0.805,8.1
Lucas Duda,3600,KCR,1B,NYY,,0.999,5.23
Rosell Herrera,2900,KCR,OF,NYY,,0,6.64
Neil Walker,3900,NYY,1B/2B,KCR,,0.714,5.59
Gleyber Torres,4300,NYY,2B,KCR,,0.999,7.69
Adalberto Mondesi,3800,KCR,2B/SS,NYY,,0.999,5.21
Giancarlo Stanton,5000,NYY,OF,KCR,,0.754,10.12
Alcides Escobar,2700,KCR,SS,NYY,,0.999,4.95
Miguel Andujar,4300,NYY,3B,KCR,,0.999,6.78
Austin Romine,3500,NYY,C,KCR,,0.999,4.14
Hunter Dozier,2800,KCR,1B,NYY,,0.999,5.05
Jorge Bonifacio,3400,KCR,OF,NYY,,0.999,6.68
Kevin Kiermaier,4300,TBR,OF,BAL,,0.779,9.25
Joseph Wendle,4300,TBR,2B/OF,BAL,,0.999,6.21
Trey Mancini,3400,BAL,1B/OF,TBR,,0.999,7.06
Mark Trumbo,3600,BAL,OF,TBR,,0.999,7.2
Caleb Joseph,3100,BAL,C,TBR,,0.999,4.6
Jesus Sucre,2700,TBR,C,BAL,,0,5.1
